no,question,context_precision,faithfulness,faithfulness_method,answer_correctness_f1,answer_correctness_precision,answer_correctness_recall,answer_correctness_skipped,context_recall,context_recall_method
1,Sự khác biệt cơ bản về mặt mô học giữa xẹp phổi (Atelectasis) và hội chứng đông đặc phổi (Pulmonary consolidation) là gì?,0.5161,0.6696,heuristic_fallback,0.7961,0.7282,0.8779,False,0.7234,heuristic_fallback
2,Tại sao bệnh nhân hít thở FiO2 cao (nồng độ oxy cao) lại có nguy cơ tiến triển xẹp phổi tái hấp thu nhanh hơn?,0.4074,0.514,heuristic_fallback,0.723,0.6959,0.7522,False,0.5111,heuristic_fallback
3,Dấu hiệu 'Golden S sign' (dấu hiệu S ngược) trên X-quang thường gợi ý bệnh lý gì và tại sao?,0.3498,0.3636,heuristic_fallback,0.6454,0.648,0.6428,False,0.4151,heuristic_fallback
4,Dấu hiệu 'Luftsichel sign' là gì và nó giúp chẩn đoán tình trạng nào?,0.3109,0.4444,heuristic_fallback,0.6408,0.6475,0.6343,False,0.2632,heuristic_fallback
5,"Tại sao trong xẹp phổi, trung thất và khí quản lại bị lệch về phía tổn thương?",0.5327,0.7917,heuristic_fallback,0.7682,0.754,0.783,False,0.4878,heuristic_fallback
6,Dấu hiệu 'Retrocardiac sail sign' (cánh buồm sau tim) có ý nghĩa gì trong chẩn đoán hình ảnh?,0.2618,0.3214,heuristic_fallback,0.6734,0.6607,0.6865,False,0.3571,heuristic_fallback
7,Sự khác biệt về rung thanh (vocal fremitus) giữa xẹp phổi và đông đặc phổi là gì?,0.4262,0.625,heuristic_fallback,0.7034,0.6733,0.7363,False,0.6667,heuristic_fallback
8,Cơ chế 'Xẹp phổi do kết dính' (Adhesive Atelectasis) có liên quan đến thành phần nào trong phế nang?,0.6102,0.5088,heuristic_fallback,0.6655,0.6483,0.6836,False,0.5946,heuristic_fallback
9,Tại sao rốn phổi phải có thể bị kéo giật lên cao trong xẹp thùy trên phải?,0.4957,0.64,heuristic_fallback,0.7681,0.7586,0.7779,False,0.3488,heuristic_fallback
10,Nêu tiêu chí chẩn đoán phân biệt chính giữa xẹp phổi tắc nghẽn và tràn dịch màng phổi lượng lớn dựa trên sự di lệch trung thất.,0.5271,0.6353,heuristic_fallback,0.676,0.6275,0.7327,False,0.4103,heuristic_fallback
